name,profilelink,monthlyviews,totalviews,questions,answers,followers
John-Geare,https://www.quora.com/profile/John-Geare,764900,30700000,33,9745,6379
Sandhya-Tiwari-27,https://www.quora.com/profile/Sandhya-Tiwari-27,761500,4200000,8,461,3223
Kiara-Bay,https://www.quora.com/profile/Kiara-Bay,760700,12200000,4,400,13309
Lisa-Raymond-1,https://www.quora.com/profile/Lisa-Raymond-1,759700,4600000,115,1990,1166
Ishita-Kumar-33,https://www.quora.com/profile/Ishita-Kumar-33,752300,16600000,1,647,8614
Michal-Bernolak,https://www.quora.com/profile/Michal-Bernolak,749400,1900000,4,127,793
Bryan-Mak-Dewei,https://www.quora.com/profile/Bryan-Mak-Dewei,748700,7000000,22,1512,1969
Scott-McNulty-1,https://www.quora.com/profile/Scott-McNulty-1,747800,3700000,1,3100,520
Doug-Schwan,https://www.quora.com/profile/Doug-Schwan,741000,6300000,1,1805,581
Feifei-Wang-6,https://www.quora.com/profile/Feifei-Wang-6,738800,51800000,476,6181,76637
Sindhu-Satish,https://www.quora.com/profile/Sindhu-Satish,738200,45900000,30,1644,29761
Neman-Ashraf,https://www.quora.com/profile/Neman-Ashraf,736400,21200000,12,369,66688
Osa-De-Cunha,https://www.quora.com/profile/Osa-De-Cunha,736400,1000000,1,77,628
Charles-Harris-56,https://www.quora.com/profile/Charles-Harris-56,735500,2100000,15,615,184
Jay-Bazzinotti,https://www.quora.com/profile/Jay-Bazzinotti,734200,90700000,73,10149,45753
Stephanie-Vardavas,https://www.quora.com/profile/Stephanie-Vardavas,732300,69100000,2541,24632,53582
Daniel-Kaplan,https://www.quora.com/profile/Daniel-Kaplan,731800,20900000,1325,5984,10930
Anime-Motivation,https://www.quora.com/profile/Anime-Motivation,730900,11400000,28,2109,3242
Ian-Williams-93,https://www.quora.com/profile/Ian-Williams-93,729700,5900000,9,1211,3640
James-Flack-9,https://www.quora.com/profile/James-Flack-9,727100,6800000,34,8678,937
Martin-Levine-8,https://www.quora.com/profile/Martin-Levine-8,726800,5000000,2,872,3630
Rj-Singh-63,https://www.quora.com/profile/Rj-Singh-63,725800,846500,1,119,172
